,Actual Inf rate (m3/d),HRT (hr) Plant,HRT (hr) Aeration tank,SRT (d),MLSS (mg/l),DO (mg/l),pH,Mixed liquid temperature(鈩?,Conductivity (miu S/cm),SVI (ml/g),Unclassified,Burkholderiales,Chitinophagales,Others,Rickettsiales,Bacteroidales,Chlamydiales,Sphingobacteriales,Bdellovibrionales,Polyangiales,Rhizobiales,Oscillospirales,Anaerolineales,0319-6G20,Pseudomonadales,Gemmatales,Cytophagales,Babeliales,Pirellulales,Flavobacteriales,SBR1031,Pedosphaerales,Xanthomonadales,Phycisphaerales,Haliangiales,Saccharimonadales,Omnitrophales,Candidatus Nomurabacteria,Lachnospirales,Myxococcales,Woesearchaeales,Microtrichales,Christensenellales,Caldilineales,Micavibrionales,Peptostreptococcales-Tissierellales,Spirochaetales,Oligoflexales,Candidatus Magasanikbacteria,Chloroplast,Nitrospirales,Legionellales,Bacteriovoracales,Sphingomonadales,Planctomycetales,metagenome,Absconditabacteriales (SR1),WCHB1-41,Paracaedibacterales,Candidatus Kaiserbacteria,Micrococcales,Verrucomicrobiales,Campylobacterales,Gammaproteobacteria Incertae Sedis,Opitutales,Solirubrobacterales,Rhodobacterales,Gemmatimonadales,Candidatus Moranbacteria,Fimbriimonadales,Rhodospirillales,Enterobacterales,Diplorickettsiales,Candidatus Woesebacteria,Caulobacterales,Candidatus Peregrinibacteria,mle1-27,RF39,Desulfovibrionales,Acetobacterales,Clostridiales,Chloroflexales,Erysipelotrichales,Methylococcales,Coxiellales,Leptospirales,RBG-13-54-9,Ardenticatenales,Blastocatellales,44524,Vicinamibacterales,Competibacterales,Kapabacteriales,Isosphaerales,Lactobacillales,Chthoniobacterales,Ignavibacteriales,Gaiellales,Candidatus Pacebacteria,Veillonellales-Selenomonadales,Bryobacterales,Desulfobacterales,Corynebacteriales,Hydrogenedentiales,mle1-8,Silvanigrellales,Blfdi19,Fibrobacterales,Tepidisphaerales,Candidatus Peribacteria,Thermoanaerobaculales,Cyanobacteriales,Candidatus Shapirobacteria,PB19,Holosporales,Propionibacteriales,Thermomicrobiales,Candidatus Campbellbacteria,Nannocystales,Chromatiales,SJA-15,Steroidobacterales,Holophagales,Kryptoniales,SJA-28,Synergistales,JGI 0000069-P22,Cloacimonadales,Frankiales,Sumerlaeales,Coriobacteriales,Candidatus Kerfeldbacteria,Fusobacteriales,Acidobacteriales,Candidatus Falkowbacteria,Desulfobulbales,Clostridia UCG-014,Defluviicoccales,Thiotrichales,Victivallales,IMCC26256,S-70,Gastranaerophilales,Tistrellales,Azospirillales,Subgroup 7,Candidatus Collierbacteria,Candidatus Zambryskibacteria,Bacillales,Deinococcales,Syntrophobacterales,Candidatus Amesbacteria,Obscuribacterales,MSBL9,MVP-88,Candidatus Azambacteria,Run-SP154,Candidatus Uhrbacteria,wastewater metagenome,Subgroup 17,Pla1 lineage,Geobacterales,Candidatus Vogelbacteria,Myxococcales bacterium enrichment culture clone 11380,Actinomycetales,44216,Paenibacillales,CCM11a,Vampirovibrionales,Syntrophales,PeM15,Syntrophorhabdales,Bradymonadales,Solibacterales,Methylacidiphilales,UASB-TL25,Calditrichales,Reyranellales,Dongiales,Chthonomonadales,Candidatus Yanofskybacteria
0,31449.6,19.23245,9.718041,12,3464.726266,1.1,7.2,15,1285.803279,197.4546,8.265625,23.5703125,9.60546875,1.75390625,0.62109375,0.53125,0.2578125,4.46484375,1.58203125,0.90234375,0.5,0.0703125,0.09375,0.58984375,4.046875,0.5390625,4.85546875,0.17578125,1.32421875,1.14453125,0.93359375,0.5703125,4.265625,0.37890625,0.72265625,1.02734375,0.0546875,0.21484375,0.0546875,0.24609375,0.0234375,0.0546875,0.00390625,0.171875,0.7109375,0.1171875,0.01171875,0.0703125,0.02734375,0.00390625,2.171875,0.01953125,0.171875,0.41796875,0.53125,0.20703125,0.21484375,0.09375,0.359375,0.3515625,0.01953125,0.51171875,0.140625,0.83203125,0.25,0.01953125,0.1328125,0.41015625,0.515625,0.734375,0.171875,0.4609375,0.1328125,0.03515625,0.57421875,0.00390625,0.16015625,0,0.08203125,0.0625,0.1015625,0.0625,0.046875,0.23046875,0.4296875,0.14453125,0.14453125,0.20703125,2.640625,0.22265625,0.1484375,0.1171875,0.05859375,0.00390625,0.078125,0.02734375,0.2421875,0,0,0.01171875,0.14453125,0.00390625,0.05078125,0.1015625,0.15234375,0.07421875,0.09375,0.13671875,0.078125,0.01171875,0.03125,0.0078125,0.0078125,0.08203125,0.16015625,0.0390625,0.05078125,0.10546875,0.21484375,0,0,0.0703125,0.0078125,0.015625,7.23046875,0.03515625,0,0,0,0,0,0,0.16796875,0,0.19140625,0.04296875,0,0.03515625,0.01171875,0,0.0078125,0.02734375,0,0,0.0546875,0.05078125,0.01953125,0.0546875,0,0,0,0.015625,0.04296875,0,0.34765625,0,0.015625,0,0.00390625,0.07421875,0.01953125,0,0.00390625,0.01171875,0.0234375,0.1484375,0,0.00390625,0.01171875,0,0.01953125,0,0.04296875,0.02734375,0.13671875,0.05859375,0,0.109375,0.046875,0,0
1,31449.6,19.23245,9.718041,12,3464.726266,1.1,7.2,15,1285.803279,197.4546,8.484375,18.73046875,10.6171875,1.65625,0.58203125,0.4765625,0.26953125,4.5703125,1.7734375,0.8203125,0.48046875,0.06640625,0.109375,0.6484375,4.3046875,0.51953125,4.69921875,0.19140625,1.30078125,1.35546875,0.89453125,0.4921875,5.3203125,0.3671875,0.69140625,1.05859375,0.0390625,0.15234375,0.046875,0.2421875,0,0.04296875,0.0078125,0.2421875,0.8828125,0.15625,0.01953125,0.1015625,0.05859375,0.0078125,2.80859375,0.05859375,0.1953125,0.5,0.53515625,0.234375,0.1875,0.15234375,0.4609375,0.20703125,0.04296875,0.48046875,0.1171875,0.91796875,0.2421875,0.046875,0.17578125,0.41796875,0.61328125,1.0078125,0.15625,0.53515625,0.140625,0.0390625,0.50390625,0.01171875,0.19921875,0.0078125,0.1015625,0.05078125,0.10546875,0.08984375,0.0625,0.18359375,0.55078125,0.16015625,0.1171875,0.22265625,2.53125,0.36328125,0.16796875,0.1015625,0.06640625,0.015625,0.109375,0.015625,0.21484375,0,0.01953125,0.01171875,0.13671875,0.00390625,0.02734375,0.0859375,0.15625,0.0703125,0.12890625,0.1640625,0.09375,0.0234375,0.04296875,0.0078125,0.0078125,0.06640625,0.27734375,0.04296875,0.0390625,0.05078125,0.29296875,0,0.0078125,0.12890625,0.02734375,0.0546875,7.3125,0.03515625,0.0078125,0,0,0,0.00390625,0,0.15234375,0,0.1484375,0.01953125,0.00390625,0.0390625,0.02734375,0,0.03515625,0.00390625,0,0.0078125,0.09375,0.078125,0.02734375,0.05078125,0.00390625,0,0,0.078125,0.03515625,0,0.27734375,0,0.01171875,0.0078125,0.01953125,0.09765625,0.0234375,0,0.00390625,0.0234375,0.01953125,0.125,0,0.00390625,0,0.00390625,0.06640625,0.0078125,0.0546875,0.0546875,0.15234375,0.01953125,0,0.09375,0.09375,0,0
2,31449.6,19.23245,9.718041,12,3464.726266,1.1,7.2,15,1285.803279,197.4546,8.30859375,19.37890625,10.80078125,1.51171875,0.55859375,0.671875,0.29296875,4.53125,1.609375,0.79296875,0.55859375,0.07421875,0.08984375,0.53515625,3.65625,0.6640625,4.93359375,0.22265625,1.44140625,1.46484375,0.9375,0.4921875,4.8984375,0.30859375,0.640625,1.12109375,0.04296875,0.0859375,0.0546875,0.26953125,0.01171875,0.0546875,0.03125,0.2109375,0.703125,0.140625,0.0078125,0.078125,0.078125,0.015625,2.8359375,0.0234375,0.18359375,0.484375,0.59375,0.26171875,0.19140625,0.15625,0.30859375,0.2421875,0.05078125,0.48046875,0.08984375,0.83203125,0.25390625,0.0546875,0.13671875,0.30859375,0.609375,0.828125,0.140625,0.40625,0.12890625,0.04296875,0.5078125,0.0078125,0.1640625,0,0.0546875,0.0703125,0.12109375,0.07421875,0.0390625,0.1484375,0.4921875,0.16796875,0.1171875,0.2421875,2.625,0.328125,0.17578125,0.1015625,0.04296875,0.01953125,0.08984375,0.03515625,0.18359375,0,0.0078125,0.03515625,0.125,0,0.0703125,0.1015625,0.11328125,0.0703125,0.10546875,0.12109375,0.140625,0.0234375,0.02734375,0,0.00390625,0.09375,0.22265625,0.0390625,0.05859375,0.046875,0.23828125,0,0.00390625,0.1484375,0.015625,0.04296875,8.55078125,0.02734375,0,0,0,0.00390625,0,0.0078125,0.2109375,0,0.1484375,0.03125,0.0078125,0.01953125,0.015625,0,0.04296875,0.01171875,0.00390625,0,0.06640625,0.0390625,0.0234375,0.03515625,0,0,0,0.078125,0.02734375,0,0.27734375,0,0.01171875,0.00390625,0.03125,0.1484375,0.015625,0.00390625,0.00390625,0.0234375,0.01171875,0.140625,0,0.00390625,0,0.00390625,0.046875,0,0.0234375,0.03125,0.1328125,0.015625,0,0.0703125,0.05859375,0,0
3,31449.6,19.23245,9.718041,12,3464.726266,1.1,7.2,15,1285.803279,197.4546,8.39453125,22.82421875,9.71484375,1.5546875,0.68359375,0.51953125,0.2734375,4.42578125,1.59765625,0.859375,0.4296875,0.0390625,0.15234375,0.5859375,3.95703125,0.41796875,5.1484375,0.20703125,1.1796875,1.265625,0.89453125,0.62890625,4.5390625,0.35546875,0.7109375,1.0234375,0.03125,0.13671875,0.0546875,0.29296875,0.02734375,0.05078125,0.0078125,0.203125,0.7421875,0.1328125,0.01953125,0.11328125,0.05859375,0.01171875,2.125,0.04296875,0.2578125,0.41796875,0.4375,0.234375,0.24609375,0.14453125,0.3125,0.37890625,0.0546875,0.45703125,0.109375,0.86328125,0.25390625,0.0390625,0.0859375,0.39453125,0.41796875,0.87109375,0.109375,0.421875,0.11328125,0.04296875,0.5234375,0.0234375,0.1796875,0,0.0625,0.08984375,0.1171875,0.09765625,0.05078125,0.140625,0.39453125,0.171875,0.1015625,0.21484375,2.72265625,0.3125,0.1328125,0.078125,0.078125,0.01171875,0.08984375,0.01953125,0.1328125,0.00390625,0.00390625,0.03125,0.15234375,0.015625,0.03515625,0.1015625,0.11328125,0.05859375,0.06640625,0.1484375,0.12890625,0.04296875,0.02734375,0.00390625,0.015625,0.07421875,0.1953125,0.0390625,0.05078125,0.0625,0.2734375,0,0.01171875,0.09765625,0.0234375,0.02734375,7.21484375,0.03515625,0.00390625,0,0.00390625,0.0078125,0.0078125,0.00390625,0.1640625,0.00390625,0.171875,0.05078125,0.0078125,0.02734375,0.0234375,0,0.04296875,0.01171875,0,0,0.07421875,0.0546875,0.00390625,0.01953125,0.00390625,0.00390625,0.00390625,0.06640625,0.0390625,0,0.37890625,0,0,0.00390625,0.01953125,0.15234375,0.0234375,0,0.0078125,0.0390625,0.0234375,0.08984375,0,0.00390625,0.00390625,0.00390625,0.0390625,0.00390625,0.03515625,0.0546875,0.1796875,0.03515625,0,0.109375,0.09375,0,0
4,31449.6,19.23245,9.718041,12,3464.726266,1.1,7.2,15,1285.803279,197.4546,8.5859375,18.86328125,11.0703125,1.47265625,0.734375,0.51171875,0.3125,4.640625,1.875,0.8046875,0.37890625,0.0546875,0.10546875,0.640625,3.73046875,0.59375,5.28125,0.25390625,1.515625,1.390625,0.9453125,0.5703125,4.3359375,0.24609375,0.74609375,1.19140625,0.01953125,0.19140625,0.04296875,0.21875,0.015625,0.05859375,0.0234375,0.2109375,0.80078125,0.14453125,0.0234375,0.1171875,0.06640625,0.00390625,2.5078125,0.05078125,0.18359375,0.3359375,0.51171875,0.24609375,0.234375,0.10546875,0.38671875,0.32421875,0.0390625,0.625,0.09765625,0.9375,0.1875,0.03125,0.1171875,0.29296875,0.65625,0.87109375,0.12890625,0.421875,0.12890625,0.01171875,0.4765625,0.0078125,0.1484375,0.0078125,0.0546875,0.04296875,0.08984375,0.06640625,0.046875,0.16796875,0.4765625,0.2265625,0.09765625,0.26953125,3.0546875,0.37109375,0.1015625,0.11328125,0.0703125,0.0078125,0.05859375,0.02734375,0.19921875,0,0.01171875,0.0234375,0.13671875,0,0.03125,0.12109375,0.12109375,0.0703125,0.09375,0.16015625,0.08984375,0.0390625,0.01953125,0,0.00390625,0.07421875,0.23828125,0.0390625,0.03125,0.05859375,0.2265625,0,0.00390625,0.08984375,0.01171875,0.02734375,8.1015625,0.05078125,0,0,0,0.0078125,0.00390625,0,0.12890625,0,0.1484375,0.0234375,0.0078125,0.01171875,0.01953125,0,0.0390625,0.01953125,0,0,0.06640625,0.046875,0.0078125,0.05859375,0,0,0.00390625,0.01953125,0.03125,0,0.3203125,0,0.0078125,0.00390625,0.015625,0.16796875,0.03125,0,0.015625,0.0234375,0.02734375,0.08984375,0,0.0078125,0.00390625,0.0078125,0.01953125,0,0.0234375,0.0390625,0.10546875,0.01171875,0,0.0703125,0.08203125,0,0
5,31449.6,19.23245,9.718041,12,3464.726266,1.1,7.2,15,1285.803279,197.4546,8.23828125,21.30859375,10.5390625,1.67578125,0.71875,0.55078125,0.29296875,5.1953125,1.62890625,0.6953125,0.47265625,0.05078125,0.15625,0.6015625,3.9375,0.59375,4.73828125,0.2578125,1.2265625,1.36328125,0.85546875,0.6796875,3.984375,0.25390625,0.71484375,1.0546875,0.046875,0.19140625,0.05078125,0.2109375,0.01953125,0.04296875,0.015625,0.19921875,0.7890625,0.10546875,0.02734375,0.08984375,0.0625,0.015625,2.24609375,0.046875,0.21484375,0.34765625,0.421875,0.21484375,0.1953125,0.12890625,0.32421875,0.37890625,0.0546875,0.5234375,0.1484375,0.828125,0.22265625,0.04296875,0.11328125,0.40234375,0.55859375,0.79296875,0.1640625,0.38671875,0.08203125,0.02734375,0.54296875,0.01171875,0.1640625,0,0.109375,0.07421875,0.1015625,0.10546875,0.03515625,0.14453125,0.44921875,0.1640625,0.10546875,0.3203125,2.796875,0.3671875,0.1171875,0.11328125,0.08984375,0.0078125,0.0859375,0.03515625,0.171875,0.0078125,0.0078125,0.0390625,0.11328125,0.02734375,0.02734375,0.0859375,0.0703125,0.078125,0.09375,0.13671875,0.0625,0.01953125,0.01171875,0.0078125,0.00390625,0.0625,0.1953125,0.03515625,0.03515625,0.08984375,0.2578125,0,0.0078125,0.06640625,0.1328125,0.03515625,7.484375,0.01953125,0,0,0,0.0234375,0,0.00390625,0.1796875,0,0.17578125,0.046875,0.0078125,0.0234375,0.0078125,0,0.0234375,0.0078125,0,0.00390625,0.07421875,0.06640625,0.015625,0.03125,0,0,0,0.07421875,0.01171875,0,0.40234375,0,0.0078125,0.00390625,0.0546875,0.1171875,0.0234375,0.01171875,0.015625,0.0390625,0.0234375,0.109375,0,0.0078125,0,0,0.01953125,0.00390625,0.0390625,0.046875,0.14453125,0.03515625,0,0.12890625,0.13671875,0.00390625,0
6,10000,19.23245,9.718041,25,5550,1.2,7.1,20,1285.803279,197.4546,10.61328125,15.33203125,15.7109375,2.3125,0.68359375,0.3203125,1.1171875,7.23828125,0.51171875,1.2109375,1.44921875,0.13671875,0.07421875,0.3828125,2.04296875,0.921875,1.84375,0.328125,1.73828125,1.16015625,0.703125,0.671875,1.53515625,0.47265625,0.484375,0.83984375,0.02734375,0.09375,0.12109375,0.3828125,0.15625,0.23828125,0.03515625,0.5078125,0.171875,0.30859375,0.03125,0.13671875,0.109375,0.015625,2.21875,0.09765625,0.0546875,0.359375,0.5703125,0.50390625,0.27734375,0.21875,0.1171875,0.00390625,0.10546875,0.26953125,0.08203125,0.6484375,0.1953125,0.08984375,0.16015625,0.6796875,0.875,0.66796875,0.0390625,0.38671875,0.16015625,0.0546875,0.7421875,0.0859375,0.5390625,0.0078125,0.078125,0.04296875,0.37890625,0.53515625,0.171875,0.20703125,0.34375,0.28125,0.65234375,0.109375,3.32421875,1.08203125,0.28125,0.3203125,0.35546875,0.0703125,0.21484375,0.015625,0.3203125,0.00390625,0.04296875,0.0234375,0.19140625,0,0.1875,0.03515625,0.1484375,0.0078125,0.1640625,0.01953125,0.15234375,0.05078125,0.28515625,0.0078125,0.00390625,0.23828125,0.171875,0.04296875,0.03125,0.06640625,0.19921875,0.00390625,0.16015625,0.3515625,0.12890625,0.140625,2.7109375,0.01953125,0,0,0,0.0078125,0.01171875,0.00390625,0.36328125,0,0,0.05859375,0.02734375,0.09765625,0.01171875,0,0.01953125,0.08203125,0,0,0.03125,0.16796875,0.0078125,0.046875,0.00390625,0,0,0.03125,0.24609375,0.00390625,0.58984375,0,0.0546875,0.00390625,0.12890625,0.390625,0.0546875,0,0.04296875,0.17578125,0.01953125,0.171875,0,0.0234375,0,0.0078125,0.0390625,0,0.02734375,0.0390625,0.06640625,0.02734375,0.04296875,0.0859375,0.01171875,0.015625,0
7,10000,19.23245,9.718041,25,5550,1.2,7.1,20,1285.803279,197.4546,10.49609375,15.98828125,15.55078125,2.16796875,0.7265625,0.32421875,1.1015625,7.7890625,0.515625,1.328125,1.25390625,0.171875,0.07421875,0.28125,1.87109375,0.95703125,1.90234375,0.25390625,1.49609375,1.375,0.67578125,0.72265625,1.63671875,0.4375,0.5234375,0.77734375,0.05078125,0.09375,0.13671875,0.39453125,0.18359375,0.19140625,0.0234375,0.609375,0.17578125,0.265625,0.0390625,0.15625,0.109375,0.01953125,2.57421875,0.0859375,0.0625,0.39453125,0.6953125,0.5,0.2421875,0.21484375,0.1484375,0.015625,0.11328125,0.2734375,0.09765625,0.609375,0.22265625,0.09765625,0.15234375,0.61328125,0.8515625,0.71484375,0.0625,0.37890625,0.14453125,0.0390625,0.6328125,0.0859375,0.64453125,0,0.05859375,0.0625,0.24609375,0.5390625,0.1015625,0.16015625,0.37109375,0.2734375,0.46875,0.08984375,3.08984375,1.05859375,0.328125,0.2734375,0.30859375,0.0546875,0.28125,0.01171875,0.26171875,0.0078125,0.03515625,0.08984375,0.1640625,0.00390625,0.140625,0.03515625,0.1484375,0.015625,0.16796875,0.0546875,0.125,0.046875,0.33984375,0.0078125,0.00390625,0.19921875,0.171875,0.02734375,0.0234375,0.0390625,0.203125,0,0.14453125,0.328125,0.10546875,0.1640625,2.42578125,0.00390625,0,0,0.00390625,0.00390625,0.00390625,0,0.41796875,0,0,0.03515625,0.03515625,0.11328125,0.0078125,0,0.01171875,0.0859375,0,0.0078125,0.02734375,0.18359375,0.0078125,0.109375,0,0,0,0.01953125,0.21875,0,0.578125,0.0078125,0.05859375,0.00390625,0.14453125,0.375,0.04296875,0,0.0234375,0.08203125,0.0078125,0.12890625,0.0078125,0.03125,0,0,0.0234375,0,0.0234375,0.03125,0.08203125,0.0625,0.0546875,0.14453125,0.0078125,0.0078125,0
8,10000,19.23245,9.718041,25,5550,1.2,7.1,20,1285.803279,197.4546,10.85546875,15.26171875,15.14453125,2.16796875,0.6875,0.34375,1.234375,7.44140625,0.4609375,1.12109375,1.265625,0.19921875,0.08984375,0.33984375,1.8203125,1.015625,1.92578125,0.3046875,1.84375,1.24609375,0.78125,0.73828125,1.609375,0.515625,0.515625,0.77734375,0.0703125,0.09765625,0.09765625,0.45703125,0.19921875,0.22265625,0.06640625,0.48046875,0.2109375,0.27734375,0.01953125,0.1328125,0.109375,0.01171875,2.51171875,0.10546875,0.08984375,0.4140625,0.70703125,0.484375,0.34375,0.23828125,0.125,0.015625,0.07421875,0.296875,0.0625,0.68359375,0.1953125,0.05859375,0.1015625,0.578125,0.80859375,0.6171875,0.01953125,0.30859375,0.16015625,0.0546875,0.6796875,0.0625,0.55078125,0.015625,0.0390625,0.05859375,0.296875,0.6015625,0.11328125,0.1796875,0.31640625,0.359375,0.5078125,0.06640625,3.328125,1.08203125,0.28125,0.2890625,0.2421875,0.078125,0.3046875,0.0078125,0.28515625,0.01953125,0.06640625,0.04296875,0.19140625,0.0078125,0.12109375,0.05859375,0.17578125,0.0234375,0.19921875,0.046875,0.14453125,0.05859375,0.30859375,0.00390625,0.015625,0.25390625,0.15625,0.04296875,0.01171875,0.05078125,0.21484375,0.00390625,0.1015625,0.38671875,0.140625,0.25,2.65625,0.015625,0.00390625,0,0,0,0.015625,0,0.40234375,0,0,0.02734375,0.015625,0.09375,0.01953125,0,0.03125,0.1015625,0,0.0078125,0.03515625,0.16015625,0.015625,0.0703125,0.00390625,0,0,0.01171875,0.17578125,0,0.58203125,0.0078125,0.09765625,0.00390625,0.140625,0.3984375,0.01953125,0,0.05078125,0.11328125,0.0234375,0.15234375,0.00390625,0.0234375,0,0.00390625,0.05078125,0.00390625,0.0390625,0.05078125,0.06640625,0.0234375,0.03515625,0.1484375,0.0234375,0.015625,0
9,10000,19.23245,9.718041,25,5550,1.2,7.1,20,1285.803279,197.4546,10.99609375,15.3828125,15.88671875,2.30078125,0.65625,0.3203125,1.12890625,7.30078125,0.38671875,1.21875,1.265625,0.1171875,0.08203125,0.33984375,1.82421875,1.00390625,1.921875,0.26953125,1.57421875,1.296875,0.75,0.65625,1.65625,0.48046875,0.55859375,0.734375,0.05078125,0.109375,0.1015625,0.3828125,0.140625,0.25,0.02734375,0.42578125,0.140625,0.26953125,0.0546875,0.1953125,0.13671875,0.015625,2.67578125,0.08984375,0.0859375,0.4140625,0.65625,0.47265625,0.33984375,0.17578125,0.12890625,0.02734375,0.08984375,0.234375,0.05859375,0.65625,0.24609375,0.078125,0.15625,0.609375,0.80859375,0.6015625,0.0390625,0.328125,0.14453125,0.05859375,0.59375,0.1171875,0.578125,0.0078125,0.046875,0.046875,0.296875,0.54296875,0.12109375,0.17578125,0.38671875,0.375,0.484375,0.09765625,3.25,0.95703125,0.359375,0.29296875,0.3671875,0.0859375,0.29296875,0.0078125,0.30078125,0.00390625,0.04296875,0.07421875,0.24609375,0.0078125,0.109375,0.0390625,0.1484375,0.0078125,0.19921875,0.11328125,0.125,0.05078125,0.28515625,0.01171875,0.00390625,0.21875,0.17578125,0.03125,0.015625,0.05078125,0.20703125,0,0.10546875,0.31640625,0.14453125,0.18359375,2.36328125,0.01953125,0,0,0,0,0.01171875,0,0.46484375,0.00390625,0.00390625,0.02734375,0.01171875,0.08203125,0.0078125,0.00390625,0.01953125,0.10546875,0,0,0.03515625,0.1875,0.00390625,0.09765625,0.00390625,0,0,0.015625,0.19921875,0,0.55859375,0.0078125,0.0625,0,0.125,0.38671875,0.0390625,0.00390625,0.03515625,0.125,0.04296875,0.12890625,0,0.0546875,0,0.00390625,0.01953125,0,0.02734375,0.046875,0.078125,0.0546875,0.046875,0.140625,0.01953125,0.03125,0.00390625
