,Annual average(鈩?,Annual mean of daily maximum(鈩?,Annual mean of daily minimum(鈩?,Sampling month average(鈩?,Sampling moment(鈩?,Annual(mm),Sampling month(mm),GDP per capita (dollars),City population,Actual Inf rate (m3/d),HRT (hr) Plant,HRT (hr) Aeration tank,SRT (d),BOD:(mg/l):Inf,BOD:inf/(1+recycle ratio),BOD:Aeration tank inf,BOD-Removal rate,COD:(mg/l):Inf,COD:Inf/(1+recycle ratio),COD:Aeration tank inf,COD-Removal rate,NH4-N:(mg/l):Inf,NH4-N:Aeration tank inf,NH4-Removal rate,TN:(mg/l):Inf,TN:Aeration tank inf,TN-Removal rate,TP:(mg/l):Inf,TP:Aeration tank inf,TP-Removal rate,Percentage,MLSS (mg/l),DO (mg/l),pH,Mixed liquid temperature(鈩?,Conductivity (miu S/cm),SVI (ml/g),Proteobacteria,Bacteroidota,Patescibacteria,Unclassified,Firmicutes,Planctomycetota,Verrucomicrobiota,Chloroflexi,Myxococcota,Others,Bdellovibrionota,Actinobacteriota,Acidobacteriota,Desulfobacterota,Dependentiae,Cyanobacteria,Spirochaetota,Nanoarchaeota,Elusimicrobiota,SAR324 clade(Marine group B),Armatimonadota
0,18,28,7,18,10.65714,661,55,14086,4178700,31449.6,19.23245,9.718041,12,202.1696,116.8853,222.9448,6.525154,771.97,245.8166,770,0.930955866,61.4,65,0.914820847,42.18083,40.2121,10.25516,7.2,8,0.833333333,0.05,3464.726266,1.1,7.2,15,1285.803279,197.4546,40.3203125,29.98828125,3.57421875,1.21875,0.53125,3.5859375,2.125,2.109375,2.4296875,3.796875,2.48828125,0.30859375,3.9453125,0.3203125,0.17578125,0.15625,0.16015625,0.0234375,0.65234375,1.3515625,0.73828125
1,18,28,7,18,10.65714,661,55,14086,4178700,31449.6,19.23245,9.718041,12,202.1696,116.8853,222.9448,6.525154,771.97,245.8166,770,0.930955866,61.4,65,0.914820847,42.18083,40.2121,10.25516,7.2,8,0.833333333,0.05,3464.726266,1.1,7.2,15,1285.803279,197.4546,37.3515625,31.40234375,3.44921875,1.34765625,0.6328125,3.39453125,1.98046875,2.1796875,2.43359375,4.50390625,2.7890625,0.41796875,4.08203125,0.34765625,0.19140625,0.1171875,0.1875,0,0.5546875,1.60546875,1.03125
2,18,28,7,18,10.65714,661,55,14086,4178700,31449.6,19.23245,9.718041,12,202.1696,116.8853,222.9448,6.525154,771.97,245.8166,770,0.930955866,61.4,65,0.914820847,42.18083,40.2121,10.25516,7.2,8,0.833333333,0.05,3464.726266,1.1,7.2,15,1285.803279,197.4546,35.94140625,33.18359375,3.51953125,1.33203125,0.6328125,3.73828125,2.0234375,2.25390625,2.2734375,4.2890625,2.4765625,0.484375,4.02734375,0.29296875,0.22265625,0.12109375,0.17578125,0.01171875,0.578125,1.59375,0.828125
3,18,28,7,18,10.65714,661,55,14086,4178700,31449.6,19.23245,9.718041,12,202.1696,116.8853,222.9448,6.525154,771.97,245.8166,770,0.930955866,61.4,65,0.914820847,42.18083,40.2121,10.25516,7.2,8,0.833333333,0.05,3464.726266,1.1,7.2,15,1285.803279,197.4546,39.359375,30.53515625,3.74609375,1.203125,0.609375,3.2265625,2.15625,2.09765625,2.4765625,3.7890625,2.61328125,0.39453125,4.11328125,0.36328125,0.20703125,0.109375,0.19140625,0.02734375,0.671875,1.234375,0.875
4,18,28,7,18,10.65714,661,55,14086,4178700,31449.6,19.23245,9.718041,12,202.1696,116.8853,222.9448,6.525154,771.97,245.8166,770,0.930955866,61.4,65,0.914820847,42.18083,40.2121,10.25516,7.2,8,0.833333333,0.05,3464.726266,1.1,7.2,15,1285.803279,197.4546,35.07421875,33.34765625,4.02734375,1.28515625,0.5546875,3.58203125,2.11328125,2.0859375,2.3203125,3.9453125,2.88671875,0.36328125,4.44921875,0.26953125,0.25390625,0.1171875,0.25,0.015625,0.62890625,1.546875,0.8828125
5,18,28,7,18,10.65714,661,55,14086,4178700,31449.6,19.23245,9.718041,12,202.1696,116.8853,222.9448,6.525154,771.97,245.8166,770,0.930955866,61.4,65,0.914820847,42.18083,40.2121,10.25516,7.2,8,0.833333333,0.05,3464.726266,1.1,7.2,15,1285.803279,197.4546,37.42578125,32.23046875,3.87890625,1.27734375,0.54296875,3.16015625,2.26953125,2.140625,2.19140625,3.74609375,2.61328125,0.35546875,4.3515625,0.41015625,0.2578125,0.140625,0.1953125,0.01953125,0.66015625,1.328125,0.8046875
6,18,28,7,18,10.65714,661,55,14086,4178700,10000,19.23245,9.718041,25,202.1696,116.8853,222.9448,6.525154,969,245.8166,710,0.969040248,89.1,70,0.983164983,148,40.2121,10.25516,15.1,10,0.854304636,0.075,5550,1.2,7.1,20,1285.803279,197.4546,27.8125,30.83984375,3.7890625,2.88671875,1.4765625,5.79296875,2.6328125,3.65234375,3.08203125,5.26953125,1.09375,0.84765625,6.34765625,0.60546875,0.328125,0.375,0.3203125,0.15625,0.8515625,1.05078125,0.7890625
7,18,28,7,18,10.65714,661,55,14086,4178700,10000,19.23245,9.718041,25,202.1696,116.8853,222.9448,6.525154,969,245.8166,710,0.969040248,89.1,70,0.983164983,148,40.2121,10.25516,15.1,10,0.854304636,0.075,5550,1.2,7.1,20,1285.803279,197.4546,28.30078125,31.234375,3.69140625,2.92578125,1.39453125,5.65625,2.74609375,3.26171875,3.42578125,5.5,1.0390625,0.7265625,6.13671875,0.42578125,0.25390625,0.31640625,0.31640625,0.18359375,0.79296875,0.90234375,0.76953125
8,18,28,7,18,10.65714,661,55,14086,4178700,10000,19.23245,9.718041,25,202.1696,116.8853,222.9448,6.525154,969,245.8166,710,0.969040248,89.1,70,0.983164983,148,40.2121,10.25516,15.1,10,0.854304636,0.075,5550,1.2,7.1,20,1285.803279,197.4546,27.515625,30.71484375,3.70703125,2.890625,1.4765625,6.13671875,2.87890625,3.484375,3.2265625,5.36328125,1.05078125,0.796875,6.42578125,0.51171875,0.3046875,0.26953125,0.3828125,0.19921875,0.84375,1.15625,0.6640625
9,18,28,7,18,10.65714,661,55,14086,4178700,10000,19.23245,9.718041,25,202.1696,116.8853,222.9448,6.525154,969,245.8166,710,0.969040248,89.1,70,0.983164983,148,40.2121,10.25516,15.1,10,0.854304636,0.075,5550,1.2,7.1,20,1285.803279,197.4546,27.7109375,31.109375,3.74609375,3.10546875,1.37109375,5.78515625,2.62890625,3.21484375,3.26171875,5.79296875,1.015625,0.76953125,6.30078125,0.46875,0.26953125,0.34765625,0.4453125,0.140625,0.87109375,0.9765625,0.66796875
